[20170113064928.824]0x00000002: 20170113064928.824, 35.521312, -98.984003, 10 #position(time_stamp, lat, lon, ttff)
[20170113064929.826]0x00000002: 20170113064929.826, 35.521312, -98.984003, 10 #position(time_stamp, lat, lon, ttff)
[20170113064930.823]0x00000002: 20170113064930.823, 35.521312, -98.984003, 10 #position(time_stamp, lat, lon, ttff)
[20170113064931.826]0x00000002: 20170113064931.826, 35.521312, -98.984003, 10 #position(time_stamp, lat, lon, ttff)
[20170113064932.824]0x00000002: 20170113064932.824, 35.521312, -98.984003, 10 #position(time_stamp, lat, lon, ttff)
[20170113064933.825]0x00000002: 20170113064933.825, 35.521312, -98.984003, 10 #position(time_stamp, lat, lon, ttff)
[20170113064934.824]0x00000002: 20170113064934.824, 35.521312, -98.984003, 10 #position(time_stamp, lat, lon, ttff)
[20170113064935.827]0x00000002: 20170113064935.827, 35.521312, -98.984003, 10 #position(time_stamp, lat, lon, ttff)
[20170113064936.824]0x00000002: 20170113064936.824, 35.521312, -98.984003, 10 #position(time_stamp, lat, lon, ttff)
[20170113064937.827]0x00000002: 20170113064937.827, 35.521312, -98.984003, 10 #position(time_stamp, lat, lon, ttff)
[20170113064938.824]0x00000002: 20170113064938.824, 35.521312, -98.984003, 10 #position(time_stamp, lat, lon, ttff)
[20170113064939.825]0x00000002: 20170113064939.825, 35.521312, -98.984003, 10 #position(time_stamp, lat, lon, ttff)
[20170113064940.824]0x00000002: 20170113064940.824, 35.521312, -98.984003, 10 #position(time_stamp, lat, lon, ttff)
[20170113064941.827]0x00000002: 20170113064941.827, 35.521312, -98.984003, 10 #position(time_stamp, lat, lon, ttff)
[20170113064942.824]0x00000002: 20170113064942.824, 35.521312, -98.984003, 10 #position(time_stamp, lat, lon, ttff)
[20170113064943.826]0x00000002: 20170113064943.826, 35.521312, -98.984003, 10 #position(time_stamp, lat, lon, ttff)
[20170113064944.824]0x00000002: 20170113064944.824, 35.521312, -98.984003, 10 #position(time_stamp, lat, lon, ttff)
[20170113064945.824]0x00000002: 20170113064945.824, 35.521312, -98.984003, 10 #position(time_stamp, lat, lon, ttff)
[20170113064946.153]0x00000001: 20170113064946.153 #gps stop
[20170113100842.874]0x00000000: 20170113100842.874 #gps start
[20170113100850.827]0x00000002: 20170113100850.827, 35.521313, -98.984048, 8 #position(time_stamp, lat, lon, ttff)
[20170113100850.828]0x00000001: 20170113100850.828 #gps stop
[20170113103119.351]0x00000000: 20170113103119.351 #gps start
[20170113103132.224]0x00000002: 20170113103132.224, 35.521318, -98.984002, 13 #position(time_stamp, lat, lon, ttff)
[20170113103132.225]0x00000001: 20170113103132.225 #gps stop
[20170113103648.401]0x00000000: 20170113103648.401 #gps start
[20170113103700.198]0x00000002: 20170113103700.198, 35.521252, -98.983990, 12 #position(time_stamp, lat, lon, ttff)
[20170113103700.202]0x00000001: 20170113103700.202 #gps stop
[20170113105941.548]0x00000000: 20170113105941.548 #gps start
[20170113105948.151]0x00000001: 20170113105948.151 #gps stop
[20170113140542.812]0x00000000: 20170113140542.812 #gps start
[20170113140608.011]0x00000002: 20170113140608.011, 35.523120, -98.981182, 26 #position(time_stamp, lat, lon, ttff)
[20170113140609.011]0x00000002: 20170113140609.011, 35.523137, -98.981053, 26 #position(time_stamp, lat, lon, ttff)
[20170113140610.011]0x00000002: 20170113140610.011, 35.523143, -98.980922, 26 #position(time_stamp, lat, lon, ttff)
